cs,species,extant,community,class
0,craugastor_myllomyllon,0,Assemblage,Amphibians
0,craugastor_chac,1,Assemblage,Amphibians
0,incilius_valliceps,1,Assemblage,Amphibians
0,bolitoglossa_nympha,1,Assemblage,Amphibians
0,hyalinobatrachium_viridissimum,1,Assemblage,Amphibians
0,leptodactylus_fragilis,1,Assemblage,Amphibians
0,bolitoglossa_dofleini,1,Assemblage,Amphibians
0,bolitoglossa_mexicana,1,Assemblage,Amphibians
0,scinax_staufferi,1,Assemblage,Amphibians
0,plectrohyla_quecchi,1,Assemblage,Amphibians
0,lithobates_maculatus,1,Assemblage,Amphibians
0,craugastor_sandersoni,1,Assemblage,Amphibians
0,agalychnis_moreletii,1,Assemblage,Amphibians
0,craugastor_bocourti,1,Assemblage,Amphibians
0,tlalocohyla_loquax,1,Assemblage,Amphibians
0,rhinella_horribilis,1,Assemblage,Amphibians
0,bolitoglossa_odonnelli,1,Assemblage,Amphibians
0,ptychohyla_hypomykter,1,Assemblage,Amphibians
0,trachycephalus_vermiculatus,1,Assemblage,Amphibians
0,bromeliohyla_bromeliacia,1,Assemblage,Amphibians
0,craugastor_rivulus,1,Assemblage,Amphibians
0,plectrohyla_teuchestes,1,Assemblage,Amphibians
0,craugastor_xucanebi,1,Assemblage,Amphibians
0,bolitoglossa_helmrichi,1,Assemblage,Amphibians
1,hypselotriton_wolterstorffi,0,Assemblage,Amphibians
1,kaloula_verrucosa,1,Assemblage,Amphibians
1,odorrana_yunnanensis,1,Assemblage,Amphibians
1,zhangixalus_feae,1,Assemblage,Amphibians
1,microhyla_fissipes,1,Assemblage,Amphibians
1,nanorana_yunnanensis,1,Assemblage,Amphibians
1,kurixalus_verrucosus,1,Assemblage,Amphibians
1,megophrys_minor,1,Assemblage,Amphibians
1,odorrana_grahami,1,Assemblage,Amphibians
1,microhyla_butleri,1,Assemblage,Amphibians
1,bufo_gargarizans,1,Assemblage,Amphibians
1,hypselotriton_yunnanensis,1,Assemblage,Amphibians
1,bombina_maxima,1,Assemblage,Amphibians
1,hyla_annectans,1,Assemblage,Amphibians
1,rana_chaochiaoensis,1,Assemblage,Amphibians
1,glyphoglossus_yunnanensis,1,Assemblage,Amphibians
1,aquarana_catesbeianus,1,Assemblage,Amphibians
1,hoplobatrachus_rugulosus,1,Assemblage,Amphibians
1,hypselotriton_chenggongensis,1,Assemblage,Amphibians
1,megophrys_platyparietus,1,Assemblage,Amphibians
1,duttaphrynus_melanostictus,1,Assemblage,Amphibians
1,hylarana_guentheri,1,Assemblage,Amphibians
1,fejervarya_multistriata,1,Assemblage,Amphibians
1,nidirana_pleuraden,1,Assemblage,Amphibians
2,craugastor_anciano,0,Assemblage,Amphibians
2,smilisca_baudinii,1,Assemblage,Amphibians
2,leptodactylus_fragilis,1,Assemblage,Amphibians
2,leptodactylus_silvanimbus,1,Assemblage,Amphibians
2,plectrohyla_calvata,1,Assemblage,Amphibians
2,bolitoglossa_mexicana,1,Assemblage,Amphibians
2,scinax_staufferi,1,Assemblage,Amphibians
2,lithobates_maculatus,1,Assemblage,Amphibians
2,engystomops_pustulosus,1,Assemblage,Amphibians
2,duellmanohyla_salvadorensis,1,Assemblage,Amphibians
2,rhinella_horribilis,1,Assemblage,Amphibians
2,leptodactylus_melanonotus,1,Assemblage,Amphibians
2,plectrohyla_matudai,1,Assemblage,Amphibians
2,bolitoglossa_conanti,1,Assemblage,Amphibians
2,ptychohyla_hypomykter,1,Assemblage,Amphibians
2,dendropsophus_microcephalus,1,Assemblage,Amphibians
2,hypopachus_barberi,1,Assemblage,Amphibians
2,incilius_porteri,1,Assemblage,Amphibians
2,hypopachus_variolosus,1,Assemblage,Amphibians
3,plethodon_ainsworthi,0,Assemblage,Amphibians
3,pseudacris_fouquettei,1,Assemblage,Amphibians
3,siren_intermedia,1,Assemblage,Amphibians
3,acris_crepitans,1,Assemblage,Amphibians
3,plethodon_glutinosus,1,Assemblage,Amphibians
3,dryophytes_squirellus,1,Assemblage,Amphibians
3,lithobates_sphenocephalus,1,Assemblage,Amphibians
3,dryophytes_femoralis,1,Assemblage,Amphibians
3,desmognathus_conanti,1,Assemblage,Amphibians
3,eurycea_paludicola,1,Assemblage,Amphibians
3,pseudacris_crucifer,1,Assemblage,Amphibians
3,anaxyrus_terrestris,1,Assemblage,Amphibians
3,dryophytes_chrysoscelis,1,Assemblage,Amphibians
3,pseudotriton_ruber,1,Assemblage,Amphibians
3,ambystoma_maculatum,1,Assemblage,Amphibians
3,notophthalmus_viridescens,1,Assemblage,Amphibians
3,ambystoma_opacum,1,Assemblage,Amphibians
3,ambystoma_texanum,1,Assemblage,Amphibians
3,aquarana_clamitans,1,Assemblage,Amphibians
3,eurycea_guttolineata,1,Assemblage,Amphibians
3,necturus_beyeri,1,Assemblage,Amphibians
3,aquarana_catesbeianus,1,Assemblage,Amphibians
3,desmognathus_valentinei,1,Assemblage,Amphibians
3,dryophytes_avivoca,1,Assemblage,Amphibians
3,eurycea_cirrigera,1,Assemblage,Amphibians
3,dryophytes_cinereus,1,Assemblage,Amphibians
3,amphiuma_tridactylum,1,Assemblage,Amphibians
3,ambystoma_talpoideum,1,Assemblage,Amphibians
3,lithobates_palustris,1,Assemblage,Amphibians
3,acris_gryllus,1,Assemblage,Amphibians
3,anaxyrus_fowleri,1,Assemblage,Amphibians
3,scaphiopus_holbrookii,1,Assemblage,Amphibians
3,gastrophryne_carolinensis,1,Assemblage,Amphibians
4,nectophrynoides_asperginis,0,Assemblage,Amphibians
4,ptychadena_porosissima,1,Assemblage,Amphibians
4,mertensophryne_micranotis,1,Assemblage,Amphibians
4,sclerophrys_pusilla,1,Assemblage,Amphibians
4,leptopelis_flavomaculatus,1,Assemblage,Amphibians
4,probreviceps_loveridgei,1,Assemblage,Amphibians
4,leptopelis_bocagii,1,Assemblage,Amphibians
4,ptychadena_nilotica,1,Assemblage,Amphibians
4,phrynobatrachus_acridoides,1,Assemblage,Amphibians
4,hyperolius_glandicolor,1,Assemblage,Amphibians
